85
7
7
85

39	47
28	48
32	35
32	28
37	22
23	18
15	12

32	31
34	45
27	36
29	29
32	29
26	25
24	33
30	35
29	27
29	21
33	28
17	58
40	12
25	60
21	28
30	51
19	47
17	33
22	40
25	14
29	12
24	48
17	42
26	17
19	21
10	32
34	56
12	47
19	38
27	41
21	35
32	45
27	45
32	38
8	22
15	25
35	16
36	47
46	51
50	40
23	22
27	30
38	39
36	32
32	41
42	36
36	26
15	19
19	14
46	19
27	5
52	24
40	22
40	52
42	42
47	48
51	48
50	55
48	57
27	22
42	56
35	53
27	55
46	25
43	58
43	62
43	12
37	61
35	60
25	62
19	61
22	54
16	58
15	54
16	45
21	8
32	18
33	13
34	8
52	22
49	17
44	15
48	12
15	34
19	28

160

850
850
850
850
850
850
850

20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20
20

372
372
372
372
372
372
372

0

1

